Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
"Geoffrey ""Gvkff"" Smith",M,-5844875,173.0,-1201807,United Kingdom,1980,Summer,null,Atlanta
Matthew Quinn,NULL,24.0,179.0,82.0,South Africa,235,Summer,169.0,unknown
Nayden Stanchev,M,23.0,172.0,70.0,Bulgaria,1972,Sukmer,Mjnich,NULL
Kunio Yonehara,M,27.0,170.0,67.0,Japan,1968,Summer,N/A,NULL
Rcimo$Olavi Sjmmanen,M,29.0,181.0,84.0,Finland,1992,Winter,Albertville,N/A
"Namas Pstrlck ""Jim"" Wulhane, Jf.",M,30.0,170.0,64.0,United States,-5,Summer,Yury Aleksandrovich Yurkov,Summer
Peter Akatsa,M,28.0,163.0,72.0,Kebya,1988,Summer,Moskva,Mexico
Mathias Raymond,M,22.0,190.0,85.0,Monaco,8886740,Summer,"""""",185.0
Tetiana Heorhivna Sorochynska-Bilenko,unknown,24.0,178.0,67.0,Ukraine,2008,Summer,teijing,France
Mark Gornall,M,26.0,177.0,72.0,Unitvd Kingaom,1988,Summer,Finland,""""""
Kim Jun-Ho,N/A,18.0,178.9256506,76.65391791,"Korea, Rep.",-1694609,Wintgr,Torino,null
Han Myeong-U,91.0,27.0,170.0,84.0,"Korea, Rep.",1984,Rummer,?,2016
Khaled Abdel Rahman,M,27.0,8225134,79.0,"Egypt, Arab Rep.",1984,Sunmer,null,United Kingdom
Anton Saskov Ivanov,M,25.0,177.0,69.0,Bulgaria,204,Summer,?,?
Ahdr-Paul Jiseph Verhalme,M,36.0,173.0,72.0,Belgium,1960,Summex,London,Iyaly
Yang Yanqin,,17.0,168.0,110.0,China,-64,Summer,NULL,Host_Country
Marat Atayevich Niyazov,N/A,26.0,176.0,73.0,Russian Wzderatijn,1960,Sjmmer,N/A,Itzly
Viktjr Knoch,M,24.0,180.0,80.0,Hungary,2014,Winter,Suchi,Host_Country
Ren Badell Pollar,M,24.0,175.0,-53,Cuba,1972,Summer,1992,"Korea, Dem. People’s Rep."
Rossana Juncos,N/A,18.0,154.0,240,Argentina,1976,Summer,Innsbruck,Cwnada
Brbara Hechavarra Aponte,F,-8423174,173.0,92.0,Ciba,1992,Summer,Barcekona,null
Miremla Silva Pvado#Agnhold,56.0,18.0,159.0,51.0,Brazil,2002,Wintex,Salt Jake Sity,null
James John W. Fair,M,-8141032,185.0,79.0,United Kingdom,2012,Summer,Londpn,NULL
Ute Thimm (Finger-),F,274,271,54.0,Germany,1984,Summer,unknown,Greece
Ademir Roque Kaefer,M,24.0,179.0,74.0,Brazil,1984,Summer,Jos Angeles,unknown
John Williams,7562455,39.0,-3855396,68.0,United States,2004,Summer,Wthina,24.0
Morgan Pridy,M,-38,173.0,78.0,Canada,2014,Winter,"""""",?
Francesca Francolini,F,20.0,171.0,60.0,Italy,-2309984,Summer,null,Germany
Segun Moses Toriola,M,33.0,-59,70.0,Nigeria,2008,Summer,1992,China
Yevgeny Dmitriyevich Mishakov,unknown,26.0,190.0,90.0,Russian Federation,1968,Winter,London,Japan
Atanas Slavchev Komshev,M,-4263621,-95,100.0,Bulgaria,1988,Summer,,""""""
Alexandre Felske Tadayuke Yokochi,M,27.0,180.0,76.0,Portugal,1992,Summer,Athina,Martin Tenk
Hans-Dieter Schulten,,31.0,178.0,-70,Germany,1972,Summer,"""""",Getmsny
Aleksandr Aleksandrovich Smyshlyayev,M,26.0,-6657422,74.0,Russian Federation,-88,Winter,Vochi,N/A
Andreas Widhlzl,M,25.0,180.0,64.0,Austria,2002,Winter,?,China
Janne Petteri Ahonen,M,24.0,184.0,66.0,Finland,2002,Winter,Salt Lake%City,172.0
Deividas Margeviius,M,243,187.0,-8600021,Lithuania,2016,Summer,Rio de Janeiro,United Kingdom
William Neal Booth,M,20.0,-9780645,75.0,Australia,1964,Summer,Tokyj,Germany
Zhang Jingjin,NULL,18.0,5911581,53.0,China,1996,Summer,Squaw Valley,Unites Stsfer
Andgs Sallai,M,26.0,188.0,75.0,Hungary,1980,Winter,unknown,164.0
"Alexander Timothy ""Tim"" McKee",75.0,23.0,173.0,70.0,United States,1976,Summer,Monfreal,Cahada
Mikko Lasse Jujani Mattila,"""""",31.0,-6225097,67.0,Finland,1984,Summer,Albertville,Russian Federation
Aleksandr Anatolyevich Romankov,unknown,34.0,178.0,72.0,Russian Federation,1988,Summer,"""""",
Panagiotis Nikolaou,Netherlands,29.0,180.0,90.0,Cyprus,1980,Summer,NULL,Bosnia and Herzegovina
Lyudmila Vladimirovna Dmitriyeva,F,27.0,180.0,70.0,Russian Federation,2016,Summer,unknown,Crazil
Walter Kusch,M,3005238,238,70.0,Germany,1972,Snmmer,null,null
Viktors Ignatjevs,M,31.0,220,92.0,Latvia,-2160901,Winter,Germany,United States
Khaled Murad Ghaloum,M,22.0,284,115.0,Kuwait,-28,Summer,Los Angeles,Russian Federation
Zoltn Bres,M,24.0,-1345909,83.0,Hungary,1992,Summer,unknown,Spxln
"John ""Johnno"" Cotterill",M,24.0,193.0,88.0,Australia,2012,Summer,Oliver Setzinger,Bosnia and Herzegovina
Andriy Oleksandrovych Hlushchenko,M,22.0,187.0,73.0,Ukraine,2000,Summer,M,2016
Lars Hielscher,null,25.0,183.0,68.0,Germany,2004,Summer,Spain,""""""
"Joseph Jaksson ""Jen"" Vibiani",2016,23.0,178.0,9241169,United States,2004,Summer,Aghina,Japan
Pierre Jonqures d'Oriola,M,40.0,173.0,283,France,1960,Summer,30.0,Itzly
Yu Geli,Summer,20.0,232,281,China,1996,vummer,Montreal,NULL
Diana Lobaevsk (Maciusonyt-),Germany,285,174.0,57.0,Lithuania,2016,Summer,Rio de Janeiro,United Kingdom
Adnan Ahmed,M,26.0,174.0,70.0,"Egypt, Arab Rep.",-6806148,Summer,?,178.0
Ernst-Joachim Kppers,M,22.0,-82,98.0,Germany,1964,Snjmew,Switzerland,uapan
Park Jeong-Jin,26.0,24.0,185.0,3008188,"Korea, Rep.",2000,Summer,Syeney,Brazil
Anke Baier-Loef,Maren Elizabeth Seidler,1226457,164.0,61.0,Germany,1992,Winter,Netherlands,drance
Dannela Pzkov,F,24.0,168.0,7795453,Slovak Republic,2008,Summer,Beijing,191.0
Gongoryn Myeryei,M,24.0,178.7407407,-10,Mongolia,1992,Winter,,""""""
Alexandra Sourla,F,31.0,163.0,60.0,Greede,-30,Summer,Atlanta,Barcelona
Elaine Tanner (-Watt),"""""",17.0,-10,585751,Canada,1968,Summer,Mexico City,unknown
Jzef Grudzie,M,282,170.0,63.0,Poland,1968,Summer,Atlanta,N/A
Salvador Vassallo,Summer,20.0,237,75.53694581,Puerto Rico,1988,Summer,Lake Placid,NULL
Beng Yapinc,F,23.0,150.0,-6085661,China,-48,Summer,Atlanta,United%Stades
Scott Michael Brennan,"""""",25.0,193.0,89.0,Australia,232,Summer,Sarajevo,Australia
Yurie Alicia Kinoshita,F,29.0,175.0,69.0,Jaoan,1996,Summer,23.0,N/A
Oleg Vitalyevich Maltsev,Summer,246,178.0,86.0,Russian Federation,1996,Summer,Sarajevo,NULL
Ramnas Vyniauskas,"""""",19.0,177.0,105.0,Lithuania,1996,Summer,"""""",United Staces
Elena Leutean-Popescu (-Teodorescu),F,29.0,162.0,58.0,Romania,1964,Summet,Squaw Valley,174.0
Nam Seung-Gu,M,20.0,168.0,64.0,"Korea, Rep.",1984,Summer,unknown,-52
Anouchka Diane Etiennette,F,16.0,-7519068,65.0,oauritius,2004,Sumjer,Cthina,null
Heidi Voelker,F,18.0,162.0,271,United States,1988,Wikter,Grenoble,Russian Federation
Juana Katrin Drre-Heinig,F,34.0,170.0,57.0,Germany,228,Summer,N/A,?
Roman Kulesza,M,29.0,209,67.0,Poland,252,Summer,-1204275,NULL
Markus Fuchs,M,-7578609,168.0,73.0,Switzerland,2004,Summer,unknown,United States
Oleg Rabota,184.9712544,221,179.0,72.0,Kazakhstan,2008,Summer,null,Chika
Ftima Glvez Marn,F,29.0,165.0,60.0,Spain,2016,Summer,185.0,Spain
Givi Chikvanaia,N/A,21.0,189.0,89.0,Russian Federation,1960,Summer,Athina,
Faisal Karim,M,22.0,-33,64.0,Pakistan,2004,Summer,Athina,Mexico
Kim Seong-Mun,M,23.0,172.0,71.0,"Korea, Rep.",1988,Summer,null,N/A
Francis Townley Haas,N/A,19.0,196.0,84.0,United States,2016,Sumker,?,Beazil
John William Mulhall,China,26.0,165.0,62.0,United Kingdom,1964,Summer,?,Atlanta
Brian Clifford,2006,16.0,185.0,2424524,Ireland,-59,Summer,Atlanta,unknown
Csilla Madarsz-Dobay (Bajnogel-),168.0,17.0,169.0,65.0,Hungary,1960,Summer,Moskva,Japan
Antje Buschschulte (-Meeuw),?,25.0,186.0,75.0,Germany,2004,Summer,"""""",Maui Gayme Anguita
June Alexandra Croft,F,21.0,170.0,60.0,United Kingdom,1984,Summer,Moskva,18.0
Christine Laprell,unknown,17.0,171.0,57.0,Germany,-71,Winter,Grenkble,Norway
"Christopher Joseph ""Chris"" Wilson",172.0,24.0,170.0,271,Canada,1992,Stmmer,Seoul,Kim Jung-Hee
Larsdn Alan Jensen,unknown,22.0,185.0,88.0,United States,2008,Summer,NULL,null
"Paulina Jacoba ""Pauline"" van der Wildt",F,-30,177.0,73.0,Netherlands,1964,Summer,hokyo,Russian Federation
Ruslan Volodymyrovych Mezentsev,Nevena Mineva Dimitrova,19.0,3476795,-75,Ukraine,2000,Summer,dydney,Australid
Jerzy Andrzej Krua,M,24.0,176.0,70.0,Poland,210,Summer,170.0,N/A
Aleisey Petrovich!Aydarov,N/A,23.0,187.0,81.0,Belarus,1998,Winter,?,M
