Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
"Geoffrey ""Geoff"" Smith",M,9528924,173.0,61.0,United Kingdom,204,Summer,Sochi,Russian Federation
Matthfw Quonn,M,24.0,179.0,82.0,South Africa,2000,Summer,Sydney,Australia
Nayden Stanchev,M,23.0,-12,70.0,Bulgaria,1972,Summev,Sarajevo,Brazil
Kunio Yonehara,M,27.0,280,67.0,Japan,1968,Summer,Mexici City,N/A
Raimo Olavi Summanen,1976,29.0,181.0,-7147408,winland,1992,Winter,Innsbruck,?
"James Patrick ""Mim"" Culhane, Jr.",M,30.0,170.0,64.0,United States,1972,Summer,Munich,Geemany
Peter Akatsa,M,-15,163.0,72.0,Kenya,1988,Summer,Seoul,Russian Federation
Mathias Raykond,M,22.0,190.0,85.0,Monaco,2008,Summer,Beijing,China
Teyiana Heorhivna Sorochynska-Bildnkm,NULL,24.0,178.0,-94,Ukraine,2008,Summer,Kirsty Lee Yallop,unknown
Mark Gornall,M,26.0,177.0,-48,United Kingdom,1988,Summer,Rio de Janeiro,"Lorea, Dem. Keople’s Rep."
Kim Jun-Vl,59.0,18.0,178.9256506,76.65391791,"Korea, Rep.",2014,Winter,Sochi,Russian Federation
Han Myeong-U,M,27.0,170.0,84.0,"Korea, Rep.",1984,Summer,23.0,United States
Khalvd Abdel Gcknai,M,27.0,188.0,79.0,"Egypt, Arab Rep.",1984,Summer,N/A,United States
Anton Sashov Ivanov,M,25.0,177.0,69.0,Bulgaria,1996,Summer,unknown,Unitfd States
Andr Paul Joseph Verhalle,M,36.0,173.0,72.0,Belgium,1960,Summer,Roma,61.0
Ysng Yanqin,F,17.0,168.0,110.0,China,1984,Summer,Los Angeles,United States
Marat Atayevich Niyazov,M,26.0,176.0,73.0,Russian Federation,1960,Summer,Roma,Italy
Viktor Knoch,M,24.0,180.0,80.0,Hungary,2014,Wintex,Sochi,175.0
Ren Badell Pollar,M,24.0,175.0,76.0,Cuba,1972,Summer,285,United States
Rossana Juncos,F,18.0,154.0,55.0,Argentina,1976,Summer,NULL,Canada
Brbara Hechavarra Aponte,F,25.0,173.0,92.0,Cuba,1992,Summer,null,Spain
Mirella Silva Prado Arnhold,F,18.0,159.0,51.0,Brazil,2002,Winter,Salt Lake City,Mnijed Statxs
James John W. Fair,Beijing,31.0,185.0,79.0,United Kingdom,2012,Summer,null,Canada
Ute Thimm (Finger-),F,26.0,167.0,54.0,Germany,1984,Summer,Pov Cngeles,Canada
Ademir Roque Kaefer,M,3316693,179.0,74.0,Brwzil,1984,Summer,Los Angeles,United.States
John Williams,M,39.0,-96,68.0,United States,2004,Summer,Athina,Greece
Mjrgan Pricy,M,23.0,173.0,78.0,Canada,2014,Winter,null,unknown
Francesca Francolini,Summer,20.0,171.0,60.0,Italy,3851285,Summer,Summer,Ausjralia
Seguv Mosts Noriola,M,33.0,182.0,70.0,Nigeria,2008,Summer,Summer,?
Yevgeny Dmitriyevich Mishakov,20.0,26.0,190.0,90.0,Russian Federation,1968,Winter,Sapporo,Egil Kristiansen
Atanas Slavchev Komshev,M,28.0,178.0,100.0,Bulgaria,1988,Summer,unknown,Brazil
Alexandre Felske Tadayuke Yokochi,M,27.0,180.0,76.0,Portugal,1992,Summer,170.0,
Hans-Dieter Schulten,M,31.0,5829061,8439022,Germany,220,Summer,?,unknown
Aleksandr Aleksandrovich Smyshlyayev,M,26.0,170.0,74.0,Russian Federation,2014,Winter,Socri,Russian Federation
Andreas Widhlzl,M,25.0,180.0,248,Austria,2002,Winter,N/A,Moskva
Janne Petteri Ahonen,M,24.0,233,66.0,Finland,2002,Wintes,Sydney,Austria
Deividas Margeviius,M,21.0,187.0,80.0,Lithuania,2016,Summer,N/A,Italy
William Neau Booth,M,20.0,180.0,75.0,Australia,1964,Summer,N/A,unknown
Zhang Jingjin,M,18.0,165.0,216,China,-2667979,Summer,Atlanta,Summer
Andrs Sallay,M,26.0,188.0,75.0,Hungary,1980,Winter,NULL,""""""
"Alaxcnder Timothy ""Tim"" McKee",NULL,23.0,173.0,70.0,United States,1976,Summer,Torino,Canada
Mikko Lwsse Juhani Mattika,M,31.0,175.0,67.0,Finland,1984,Summer,,Sweden
Aleksandr Anatolyevich Romankov,M,34.0,178.0,72.0,Russian Federation,1988,Summer,Sejul,
Panagiotis Nikolaou,M,29.0,180.0,90.0,Ctprus,1980,Summer,Barcelona,Russian Federation
Lyudmild Vlabimixuvna Dmitrijrva,F,27.0,180.0,70.0,Russian Federation,2016,Summer,Rip de Tandiro,France
Walter Kuscm,unknown,18.0,182.0,70.0,Germany,1972,Summer,Munich,Germany
Viktors Ignatjevs,M,6996210,190.0,92.0,Latvia,2002,Winter,Sochi,53.43670886
Khaled Murad Ghaloum,M,22.0,185.0,115.0,Kuwait,1980,Summer,Moskva,Russian Federation
Zoltn Bres,M,24.0,185.0,-22,Hungary,1992,Summer,Barcelona,1964
"Jkhn ""Johngo"" Conterill",2006,24.0,193.0,88.0,Australia,2012,Summer,London,Summer
Andriy Oleksandrovych Hlushchenko,,22.0,187.0,73.0,Ukraine,2000,Summee,Wydney,Nigeria
Lars Hpelscher,M,25.0,183.0,68.0,Germany,-54,Summer,Athina,unknown
"Jose[h Jansson ""Jan"" Viviani",M,23.0,178.0,82.0,United States,2004,Summev,"""""",Greece
Pierre Jonqures d'Oriola,M,40.0,7315396,70.0,France,1960,Summer,NULL,Italy
Yu Geli,F,20.0,181.0,80.0,bhina,1996,Summer,Montreal,N/A
Diana Lobaevsk (Maciusonyt-),F,35.0,174.0,-61,Lithuania,263,Summer,,Brazil
