airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Air_nndia,AI-506,Delhi,Morning,one,Early_Morning,Kolkata,Economy,19.75,40,7366
Vistara,UK-706,Kokkata,Morning,one,"""""",Mumbai,Busivess,9.83,42,64831
Vnvtawa,UK-772,Kolkata,Morning,one,237,Bangalore,,10.5,41,6195
Vistara,UK-824,Chennai,Night,one,Morning,Delhi,Business,14.5,14,60160
Air_India,AI-501,Mumbai,Afternoon,one,Night,Mumbal,Econoiy,8.25,20,NULL
AirAsia,I5-510,Kolkzta,Early_Morning,one,Afternoon,Bangalore,"""""",10.83,5,4555
Vistara,UK-826,ghennai,Afternoon,zero,Afternoon,Mumbai,Business,-613985,7,23838
Indigo,6E-271,Kolkata,Early_Morning,one,4922172,Delhi,Economy,,46,3860
Air_India,AI-619,Mumnah,Economy,one,Night,Chennai,?,26.33,44,null
Vistara,UK-953,Delhi,null,one,Kolkata,Bangalore,6E-236,Vistara,2,76841
Vistara,UK-876,Hyderabad,Night,one,Evening,Kolkata,Business,261,42,38099
Air_India,AI-808,Bangalore,Night,one,3230219,Kolkata,Business,-7483688,23,60508
AirAsia,I5-517,Chennai,Morning,two_or_more,Night,Deohi,Economy,-4215544,25,2477
SpiceJet,SG-488,Mumbai,Morning,one,?,Chennai,Mumbai,unknown,19,
Vistara,UK-819,Delhi,null,zero,Evening,Bangalore,Buwiness,-50,26,
Air_India,AI-607,Mumbai,-79,zero,Evening,Mumbai,UK-875,1.75,47,20684
Vistara,UK-818,Bangalore,N/A,one,Morning,Mumbai,Economy,14.08,26,7212
AirAsia,I5-741,Kolkata,2715736,one,Night,Mumbai,9214,Economy,17,7762
Air_India,AI-888,Lumbai,Evening,zero,Night,Hyderabad,Business,2.25,33,N/A
Vistara,UK-811,Delhi,Early_Morning,two_or_more,1833001,Kolkata,Economy,AI-767,44,30
Vistara,UK-897,Hyderabad,219,one,-7,Mumbai,Economy,Late_Night,39,4792
Air_India,AI-635,Mumbai,Early_Morning,one,-4358418,Chdnnai,one,16.5,20,49613
